,Name,Credit Score,Loan Type,Loan Amount,Loan Term,Interest Rate,EMI,Days Left to Pay Current EMI,Delayed Payment,Payment Dates,Payment Modes,Outstanding Balance
734,Taran Dugar,759,Home Loan,69995,5,0.28,14993.99,12,Yes,"['2023-5-19', '2023-6-8', '2023-7-28', '2023-8-14']","['Cash', 'Debit Card', 'Net Banking', 'Credit Card']",10019.04
735,Raghav Sheth,723,Auto Loan,79881,9,0.24,9786.66,1,No,"['2023-5-13', '2023-6-12']","['Debit Card', 'Credit Card']",60307.68
736,Divyansh Bath,709,Personal Loan,13343,7,0.18,2022.21,15,Yes,"['2023-5-11', '2023-6-25', '2023-7-23', '2023-8-15', '2023-9-24']","['Credit Card', 'Credit Card', 'Debit Card', 'Net Banking', 'Credit Card']",3231.9500000000007
737,Shray Vala,789,Personal Loan,85844,9,0.2,10350.59,1,Yes,[],[],85844.0
738,Indrans Sampath,630,Home Loan,51502,11,0.14,5016.07,9,No,"['2023-5-16', '2023-6-12', '2023-7-19', '2023-8-13', '2023-9-14', '2023-10-16', '2023-11-27', '2023-12-1', '2023-12-11', '2024-1-22']","['Credit Card', 'Debit Card', 'Credit Card', 'UPI', 'Cash', 'UPI', 'UPI', 'UPI', 'Credit Card', 'Cash']",1341.300000000003
739,Navya Krishnamurthy,565,Personal Loan,15870,13,0.29,1437.13,3,No,"['2023-5-7', '2023-6-3', '2023-7-15']","['Credit Card', 'Debit Card', 'Cash']",11558.61
740,Vihaan Bumb,356,Personal Loan,87038,6,0.26,15626.04,14,No,"['2023-5-4', '2023-6-19', '2023-7-13', '2023-8-5', '2023-9-9']","['Credit Card', 'UPI', 'Net Banking', 'Cash', 'Cash']",8907.799999999988
741,Neysa Mane,817,Home Loan,54881,10,0.19,5977.28,1,Yes,"['2023-5-25', '2023-6-6', '2023-7-13', '2023-8-13', '2023-9-19', '2023-10-16', '2023-11-27', '2023-12-23']","['Cash', 'Debit Card', 'Cash', 'Net Banking', 'Net Banking', 'Debit Card', 'UPI', 'Credit Card']",7062.760000000002
742,Samarth Ram,535,Personal Loan,56738,4,0.27,14991.25,3,Yes,"['2023-5-22', '2023-6-6']","['Net Banking', 'Credit Card']",26755.5
743,Amani Biswas,713,Personal Loan,90588,4,0.22,23694.42,4,Yes,"['2023-5-27', '2023-6-13', '2023-7-24']","['Debit Card', 'Net Banking', 'Credit Card']",19504.740000000005
744,Ehsaan Vyas,350,Auto Loan,92781,9,0.18,11097.52,1,No,"['2023-5-4', '2023-6-25', '2023-7-20', '2023-8-4', '2023-9-17', '2023-10-4', '2023-11-10', '2023-12-28']","['Credit Card', 'Cash', 'Debit Card', 'Credit Card', 'Debit Card', 'Debit Card', 'UPI', 'Cash']",4000.8399999999965
745,Jayant Suresh,374,Personal Loan,73673,7,0.15,11057.49,1,Yes,"['2023-5-5', '2023-6-28', '2023-7-1', '2023-7-9']","['Credit Card', 'Credit Card', 'Net Banking', 'Net Banking']",29443.04
746,Saira Rau,759,Auto Loan,87110,12,0.26,8321.63,4,No,"['2023-5-17', '2023-6-23', '2023-7-15', '2023-8-18', '2023-9-25', '2023-10-2', '2023-11-12', '2023-12-13', '2024-1-25', '2024-2-15', '2024-3-3']","['Cash', 'UPI', 'UPI', 'Credit Card', 'Credit Card', 'Net Banking', 'Net Banking', 'Net Banking', 'Cash', 'Credit Card', 'Credit Card']",-4427.929999999993
747,Madhav Gola,778,Auto Loan,67049,7,0.3,10559.91,10,No,"['2023-5-10', '2023-6-25', '2023-7-3', '2023-8-27']","['UPI', 'Credit Card', 'Cash', 'UPI']",24809.36
748,Raunak Varty,333,Home Loan,66818,6,0.25,11962.31,8,Yes,['2023-5-5'],['Debit Card'],54855.69
749,Sumer Ramaswamy,589,Personal Loan,51946,10,0.21,5707.58,9,No,"['2023-5-14', '2023-6-12', '2023-7-2', '2023-8-20', '2023-9-1', '2023-10-6', '2023-11-9', '2023-12-11', '2024-1-16', '2024-2-25']","['Debit Card', 'Debit Card', 'Credit Card', 'Debit Card', 'UPI', 'Net Banking', 'Cash', 'Debit Card', 'UPI', 'UPI']",-5129.800000000003
750,Vivaan Chanda,838,Home Loan,67204,5,0.2,14120.24,12,Yes,"['2023-5-20', '2023-6-14', '2023-7-7']","['Net Banking', 'Credit Card', 'Cash']",24843.28
751,Nayantara Dube,601,Home Loan,94837,5,0.12,19540.2,12,No,"['2023-5-6', '2023-6-9', '2023-7-24']","['Debit Card', 'Credit Card', 'Cash']",36216.399999999994
752,Shlok Borah,509,Home Loan,12561,15,0.18,941.38,11,Yes,"['2023-5-25', '2023-6-18', '2023-7-21']","['UPI', 'Cash', 'Net Banking']",9736.86
753,Raunak Ramaswamy,748,Home Loan,50111,12,0.16,4546.61,10,No,"['2023-5-16', '2023-6-2']","['Debit Card', 'Debit Card']",41017.78
754,Shaan Chaudhari,344,Auto Loan,33291,9,0.11,3870.6,6,No,[],[],33291.0
755,Anahi Virk,672,Personal Loan,17680,3,0.25,6140.58,9,No,"['2023-5-24', '2023-6-3', '2023-7-4']","['Net Banking', 'UPI', 'Debit Card']",-741.739999999998
756,Trisha Gour,508,Home Loan,78473,14,0.19,6293.47,2,No,"['2023-5-8', '2023-6-12']","['Net Banking', 'UPI']",65886.06
757,Jayant Swamy,764,Personal Loan,39848,9,0.21,4823.92,7,Yes,[],[],39848.0
758,Anahita Salvi,616,Auto Loan,68472,7,0.11,10143.65,2,Yes,[],[],68472.0
759,Aniruddh Jhaveri,390,Home Loan,65020,7,0.26,10110.83,4,No,[],[],65020.0
760,Aarav Bansal,573,Home Loan,40179,10,0.2,4395.34,3,Yes,[],[],40179.0
761,Aarav Acharya,406,Personal Loan,84393,14,0.24,6971.03,5,No,"['2023-5-14', '2023-6-4', '2023-7-10', '2023-8-25', '2023-9-4', '2023-10-10', '2023-11-27']","['UPI', 'Debit Card', 'Credit Card', 'Net Banking', 'Cash', 'Debit Card', 'Cash']",35595.79
762,Kanav Dasgupta,405,Auto Loan,99375,1,0.14,100534.37,4,No,['2023-5-12'],['Net Banking'],-1159.3699999999953
763,Ayesha Doctor,715,Auto Loan,70677,2,0.18,36135.59,8,Yes,"['2023-5-13', '2023-6-27']","['Cash', 'UPI']",-1594.179999999993
764,Charvi Kohli,337,Personal Loan,24128,5,0.25,5131.35,13,No,"['2023-5-13', '2023-6-2', '2023-7-24']","['UPI', 'Net Banking', 'Debit Card']",8733.949999999999
765,Alia Dey,499,Home Loan,49195,2,0.17,25121.42,13,No,"['2023-5-19', '2023-6-22']","['Credit Card', 'Cash']",-1047.8399999999965
766,Siya Barman,502,Auto Loan,59399,3,0.21,20496.66,2,Yes,"['2023-5-26', '2023-6-25', '2023-7-1']","['Cash', 'Cash', 'Credit Card']",-2090.979999999996
767,Damini Bora,667,Auto Loan,77949,5,0.27,16657.72,9,Yes,"['2023-5-15', '2023-6-4']","['Debit Card', 'Cash']",44633.56
768,Miraya Brar,358,Personal Loan,44310,1,0.21,45085.42,15,Yes,[],[],44310.0
769,Uthkarsh Seshadri,311,Auto Loan,14232,6,0.15,2476.85,9,Yes,"['2023-5-10', '2023-6-26']","['Cash', 'Credit Card']",9278.3
770,Divyansh Malhotra,323,Personal Loan,90324,11,0.22,9141.84,4,Yes,"['2023-5-19', '2023-6-21', '2023-7-4', '2023-8-28', '2023-9-25', '2023-10-18', '2023-11-12']","['Credit Card', 'Net Banking', 'Cash', 'Debit Card', 'Net Banking', 'Net Banking', 'Cash']",26331.119999999995
771,Kavya Johal,507,Home Loan,83748,15,0.14,6118.39,15,No,"['2023-5-2', '2023-6-16', '2023-7-19', '2023-8-26', '2023-9-21', '2023-10-19', '2023-11-4', '2023-12-15', '2024-1-16', '2024-2-15', '2024-3-22', '2024-4-13']","['Net Banking', 'Debit Card', 'Cash', 'UPI', 'UPI', 'UPI', 'Credit Card', 'Debit Card', 'Debit Card', 'Debit Card', 'Debit Card', 'Net Banking']",10327.319999999992
772,Hiran Sahni,577,Auto Loan,39689,8,0.18,5301.82,11,No,"['2023-5-18', '2023-6-22', '2023-7-16', '2023-8-14']","['UPI', 'Cash', 'Net Banking', 'Net Banking']",18481.72
773,Sana Garde,812,Auto Loan,13624,1,0.2,13851.07,12,Yes,[],[],13624.0
774,Prisha Gopal,355,Auto Loan,64474,8,0.21,8706.76,12,No,"['2023-5-3', '2023-6-17', '2023-7-14', '2023-8-24']","['Debit Card', 'UPI', 'Credit Card', 'UPI']",29646.96
775,Aarush Borra,815,Home Loan,22435,13,0.22,1955.28,7,Yes,[],[],22435.0
776,Vedika Bhattacharyya,542,Personal Loan,21301,3,0.15,7278.58,7,Yes,[],[],21301.0
777,Kabir Deep,796,Auto Loan,11743,11,0.13,1138.18,10,Yes,[],[],11743.0
778,Faiyaz Ghose,838,Home Loan,93648,6,0.29,16954.44,1,Yes,"['2023-5-5', '2023-6-2', '2023-7-4', '2023-8-15', '2023-9-5', '2023-10-19']","['Net Banking', 'Debit Card', 'UPI', 'Cash', 'Debit Card', 'Debit Card']",-8078.639999999985
779,Tushar Khare,512,Personal Loan,26174,5,0.14,5419.43,1,No,['2023-5-24'],['Credit Card'],20754.57
780,Kismat Ahuja,392,Personal Loan,56975,11,0.15,5576.05,4,Yes,"['2023-5-11', '2023-6-4', '2023-7-26', '2023-8-17', '2023-9-28', '2023-10-12', '2023-11-16', '2023-12-24']","['UPI', 'Debit Card', 'Net Banking', 'UPI', 'Cash', 'UPI', 'Net Banking', 'Debit Card']",12366.599999999999
781,Vardaniya Agate,635,Personal Loan,95071,13,0.12,7835.26,11,Yes,"['2023-5-15', '2023-6-10', '2023-7-11', '2023-8-4', '2023-9-20']","['Net Banking', 'Debit Card', 'UPI', 'Cash', 'Debit Card']",55894.7
782,Divyansh Upadhyay,370,Auto Loan,51726,14,0.27,4348.21,11,Yes,"['2023-5-17', '2023-6-9']","['UPI', 'Cash']",43029.58
783,Oorja Brahmbhatt,810,Personal Loan,34911,7,0.29,5480.9,8,Yes,"['2023-5-11', '2023-6-10', '2023-7-19']","['UPI', 'Debit Card', 'Credit Card']",18468.300000000003
784,Yuvaan Thakur,804,Home Loan,56773,9,0.2,6845.37,8,Yes,"['2023-5-7', '2023-6-5', '2023-7-4']","['Net Banking', 'Debit Card', 'Cash']",36236.89
785,Vedika Srinivas,442,Auto Loan,89106,10,0.15,9534.62,10,Yes,['2023-5-4'],['Net Banking'],79571.38
786,Riya Sahota,635,Auto Loan,74981,5,0.11,15411.1,1,Yes,[],[],74981.0
787,Kismat Ram,689,Personal Loan,46375,3,0.28,16185.27,1,Yes,['2023-5-28'],['Net Banking'],30189.73
788,Ranbir Chaudhuri,539,Personal Loan,54891,11,0.23,5582.1,9,No,"['2023-5-20', '2023-6-16', '2023-7-7']","['Debit Card', 'Credit Card', 'Cash']",38144.7
789,Uthkarsh Bhatia,793,Auto Loan,96670,12,0.11,8543.85,13,No,[],[],96670.0
790,Ritvik Mangal,808,Auto Loan,87960,5,0.23,18616.34,9,Yes,"['2023-5-7', '2023-6-18', '2023-7-13', '2023-8-10']","['Net Banking', 'UPI', 'Cash', 'UPI']",13494.64
791,Hridaan Gill,645,Auto Loan,49918,7,0.26,7762.42,7,No,"['2023-5-14', '2023-6-12', '2023-7-4']","['Debit Card', 'Credit Card', 'Credit Card']",26630.739999999998
792,Kanav Dey,562,Auto Loan,45205,15,0.13,3281.41,15,No,"['2023-5-4', '2023-6-1', '2023-7-22', '2023-8-20', '2023-9-2', '2023-10-20']","['UPI', 'Net Banking', 'Cash', 'Cash', 'Debit Card', 'Net Banking']",25516.54
793,Piya Bhandari,516,Auto Loan,53623,8,0.21,7241.41,2,Yes,"['2023-5-11', '2023-6-21']","['Net Banking', 'UPI']",39140.18
794,Biju Gandhi,400,Auto Loan,29307,1,0.22,29844.3,13,No,['2023-5-26'],['Net Banking'],-537.2999999999993
795,Hrishita Thakur,668,Auto Loan,22419,14,0.26,1873.64,11,Yes,"['2023-5-6', '2023-6-18', '2023-7-5', '2023-8-4', '2023-9-10', '2023-10-1', '2023-10-17', '2023-11-16', '2023-12-3']","['Net Banking', 'Debit Card', 'UPI', 'Cash', 'Debit Card', 'Cash', 'Cash', 'UPI', 'Credit Card']",5556.239999999998
796,Jivika Choudhury,669,Personal Loan,49425,12,0.18,4531.28,4,Yes,"['2023-5-15', '2023-6-27', '2023-7-3', '2023-8-20', '2023-9-3', '2023-10-20']","['Net Banking', 'Net Banking', 'Net Banking', 'Cash', 'UPI', 'Debit Card']",22237.32
797,Arnav Sahni,489,Personal Loan,41460,8,0.24,5659.7,14,No,"['2023-5-20', '2023-6-3', '2023-7-3', '2023-8-28', '2023-9-25', '2023-10-18']","['Cash', 'Cash', 'Cash', 'Credit Card', 'Net Banking', 'Net Banking']",7501.800000000003
798,Tanya Suresh,537,Personal Loan,22549,2,0.23,11599.67,5,Yes,['2023-5-19'],['Cash'],10949.33
799,Indrans Sahota,350,Personal Loan,60154,2,0.19,30793.2,7,No,['2023-5-6'],['UPI'],29360.8
800,Jhanvi Mangal,344,Home Loan,77996,7,0.19,11859.05,1,Yes,"['2023-5-14', '2023-6-17', '2023-7-5', '2023-8-25', '2023-9-5', '2023-10-19']","['Net Banking', 'Debit Card', 'Cash', 'Debit Card', 'Credit Card', 'UPI']",6841.700000000012
801,Romil Shan,433,Auto Loan,10130,15,0.13,735.33,1,No,"['2023-5-18', '2023-6-4', '2023-7-23', '2023-8-17', '2023-9-13', '2023-10-15', '2023-11-3', '2023-12-20', '2024-1-21', '2024-2-20', '2024-3-8', '2024-4-19', '2024-5-23', '2024-6-4']","['UPI', 'Credit Card', 'Credit Card', 'Debit Card', 'Cash', 'UPI', 'Net Banking', 'Net Banking', 'Debit Card', 'Net Banking', 'Net Banking', 'Debit Card', 'Credit Card', 'UPI']",-164.6200000000008
802,Sumer Yadav,595,Auto Loan,40041,14,0.2,3230.37,2,No,"['2023-5-6', '2023-6-9']","['Net Banking', 'Debit Card']",33580.26
803,Arnav Doshi,495,Home Loan,36728,5,0.26,7829.89,10,No,"['2023-5-13', '2023-6-17']","['Debit Card', 'Credit Card']",21068.22
804,Ishita Dasgupta,392,Auto Loan,43156,7,0.22,6625.46,1,No,"['2023-5-25', '2023-6-12', '2023-7-12', '2023-8-20', '2023-9-12', '2023-10-5', '2023-11-12']","['Cash', 'Debit Card', 'Debit Card', 'Net Banking', 'Cash', 'Cash', 'Debit Card']",-3222.220000000001
805,Kiaan Kuruvilla,446,Auto Loan,17922,6,0.2,3163.64,5,No,[],[],17922.0
806,Shaan Babu,767,Auto Loan,96633,14,0.18,7703.9,7,Yes,"['2023-5-25', '2023-6-16', '2023-7-13', '2023-8-18']","['Net Banking', 'Debit Card', 'Credit Card', 'Cash']",65817.4
807,Suhana Gara,609,Home Loan,96756,10,0.13,10261.42,15,No,"['2023-5-2', '2023-6-25', '2023-7-6']","['Net Banking', 'Net Banking', 'Net Banking']",65971.73999999999
808,Aarna Wali,683,Home Loan,73753,13,0.16,6216.84,12,Yes,"['2023-5-14', '2023-6-13']","['Net Banking', 'Cash']",61319.32
809,Ira Kashyap,638,Auto Loan,34238,9,0.3,4295.39,3,Yes,"['2023-5-2', '2023-6-13', '2023-7-17']","['Debit Card', 'UPI', 'Net Banking']",21351.829999999998
810,Ivan Jaggi,320,Personal Loan,24722,12,0.23,2325.75,15,No,"['2023-5-6', '2023-6-25', '2023-7-17', '2023-8-3', '2023-9-1', '2023-10-4', '2023-11-19']","['Net Banking', 'UPI', 'Net Banking', 'Debit Card', 'Debit Card', 'UPI', 'UPI']",8441.75
811,Mamooty Malhotra,570,Auto Loan,52088,9,0.12,6080.77,1,No,"['2023-5-14', '2023-6-24', '2023-7-28', '2023-8-22']","['Debit Card', 'Credit Card', 'Cash', 'Debit Card']",27764.92
812,Azad Kurian,459,Auto Loan,88950,15,0.27,7052.71,12,No,[],[],88950.0
813,Saksham Bal,739,Personal Loan,89317,9,0.25,10986.28,4,Yes,"['2023-5-27', '2023-6-2', '2023-7-3', '2023-8-9', '2023-9-5', '2023-10-5', '2023-11-10']","['Credit Card', 'Credit Card', 'UPI', 'Cash', 'Credit Card', 'Net Banking', 'Debit Card']",12413.039999999994
814,Rasha Ratti,563,Auto Loan,99844,7,0.28,15625.37,12,Yes,"['2023-5-5', '2023-6-8', '2023-7-1', '2023-7-13']","['Credit Card', 'Cash', 'Debit Card', 'UPI']",37342.52
815,Samarth Krishnamurthy,419,Personal Loan,84141,9,0.12,9822.65,1,Yes,"['2023-5-14', '2023-6-28', '2023-7-2']","['Cash', 'Credit Card', 'UPI']",54673.05
816,Vanya Doshi,706,Auto Loan,95847,4,0.15,24715.21,15,Yes,"['2023-5-10', '2023-6-9', '2023-7-18']","['Cash', 'Debit Card', 'Debit Card']",21701.369999999995
817,Anahi Balan,708,Home Loan,87999,2,0.26,45434.59,13,No,"['2023-5-2', '2023-6-21']","['UPI', 'Cash']",-2870.179999999993
818,Saanvi Buch,698,Home Loan,66827,2,0.28,34587.47,15,Yes,"['2023-5-7', '2023-6-20']","['Cash', 'Net Banking']",-2347.9400000000023
819,Aayush Kaur,773,Personal Loan,33899,4,0.27,8956.76,13,No,"['2023-5-17', '2023-6-13']","['Cash', 'Cash']",15985.48
820,Mahika Madan,621,Personal Loan,62814,4,0.23,16463.1,12,Yes,"['2023-5-18', '2023-6-11']","['UPI', 'UPI']",29887.800000000003
821,Eshani Dass,817,Personal Loan,41494,8,0.28,5746.01,5,No,"['2023-5-6', '2023-6-28', '2023-7-12', '2023-8-12', '2023-9-22', '2023-10-8', '2023-11-19']","['Credit Card', 'Credit Card', 'Net Banking', 'Net Banking', 'Cash', 'Credit Card', 'Credit Card']",1271.9300000000003
822,Vanya Ramaswamy,408,Personal Loan,45362,14,0.15,3552.08,15,No,"['2023-5-26', '2023-6-17', '2023-7-13']","['Debit Card', 'Debit Card', 'Cash']",34705.76
823,Vaibhav Jayaraman,398,Auto Loan,86973,11,0.22,8802.68,8,Yes,[],[],86973.0
824,Alisha Maharaj,692,Personal Loan,50220,1,0.15,50847.75,1,No,['2023-5-15'],['UPI'],-627.75
825,Ojas Mahajan,422,Home Loan,27567,14,0.17,2184.66,8,Yes,"['2023-5-6', '2023-6-23', '2023-7-20', '2023-8-3', '2023-9-3', '2023-10-1']","['UPI', 'UPI', 'Cash', 'Credit Card', 'Credit Card', 'Credit Card']",14459.04
826,Rohan Roy,768,Personal Loan,85171,14,0.13,6589.47,1,Yes,"['2023-5-8', '2023-6-26', '2023-7-23']","['Credit Card', 'UPI', 'Cash']",65402.59
827,Mehul Sethi,817,Auto Loan,38393,10,0.3,4386.74,10,No,"['2023-5-15', '2023-6-17', '2023-7-25', '2023-8-23', '2023-9-20', '2023-10-22', '2023-11-8', '2023-12-8', '2024-1-3', '2024-2-26']","['Debit Card', 'Credit Card', 'Net Banking', 'Net Banking', 'Net Banking', 'Debit Card', 'UPI', 'Cash', 'Net Banking', 'Debit Card']",-5474.399999999994
828,Dhanush Gole,469,Auto Loan,73421,8,0.22,9950.82,5,No,[],[],73421.0
829,Tejas Sidhu,505,Auto Loan,80767,15,0.2,6130.06,14,No,"['2023-5-23', '2023-6-19', '2023-7-19', '2023-8-24', '2023-9-1', '2023-10-28', '2023-11-14', '2023-12-4', '2024-1-3', '2024-2-2', '2024-3-9', '2024-4-15', '2024-5-27']","['Debit Card', 'Credit Card', 'UPI', 'Debit Card', 'UPI', 'Debit Card', 'UPI', 'Debit Card', 'Credit Card', 'Credit Card', 'Cash', 'Cash', 'Net Banking']",1076.2200000000012
830,Keya Khalsa,447,Home Loan,95969,13,0.27,8596.6,13,Yes,[],[],95969.0
831,Tarini Dhar,654,Personal Loan,72809,2,0.15,37088.5,2,No,['2023-5-6'],['Cash'],35720.5
832,Vivaan Lal,522,Auto Loan,67537,2,0.11,34233.52,6,Yes,"['2023-5-1', '2023-5-15']","['Credit Card', 'Credit Card']",-930.0399999999936
833,Amani Goda,492,Home Loan,17845,8,0.29,2479.96,13,No,"['2023-5-12', '2023-6-20', '2023-7-24', '2023-8-11', '2023-9-16', '2023-10-18']","['Cash', 'Net Banking', 'UPI', 'Cash', 'Credit Card', 'Credit Card']",2965.24
834,Armaan Sarin,765,Personal Loan,11838,2,0.13,6015.36,5,No,['2023-5-17'],['Debit Card'],5822.64
835,Adah Bora,747,Personal Loan,63528,13,0.14,5295.11,7,Yes,[],[],63528.0
836,Kiara Kapadia,578,Personal Loan,53541,6,0.11,9211.97,12,Yes,"['2023-5-21', '2023-6-5', '2023-7-10']","['Net Banking', 'Net Banking', 'Net Banking']",25905.090000000004
837,Ira Dhingra,813,Auto Loan,54705,12,0.27,5252.63,14,Yes,"['2023-5-19', '2023-6-7', '2023-7-11', '2023-8-18', '2023-9-1', '2023-10-13', '2023-11-19']","['Credit Card', 'UPI', 'UPI', 'Credit Card', 'Credit Card', 'Cash', 'Debit Card']",17936.589999999997
838,Armaan Shere,806,Personal Loan,47444,7,0.15,7120.81,3,Yes,"['2023-5-14', '2023-6-2', '2023-7-12', '2023-8-7', '2023-9-8', '2023-10-1', '2023-10-4']","['Debit Card', 'Debit Card', 'Net Banking', 'Debit Card', 'Net Banking', 'Net Banking', 'Cash']",-2401.6700000000055
839,Kimaya Lanka,590,Home Loan,94430,6,0.14,16387.19,10,Yes,[],[],94430.0
840,Alia Ranganathan,749,Personal Loan,50344,10,0.24,5604.62,14,Yes,"['2023-5-17', '2023-6-28', '2023-7-21', '2023-8-12', '2023-9-11', '2023-10-7', '2023-11-25', '2023-12-22', '2024-1-2', '2024-2-16']","['Cash', 'UPI', 'Cash', 'Debit Card', 'Cash', 'UPI', 'UPI', 'Debit Card', 'Debit Card', 'Net Banking']",-5702.199999999997
841,Heer Jayaraman,787,Home Loan,33996,8,0.3,4741.33,8,Yes,[],[],33996.0
842,Miraya Choudhary,569,Auto Loan,62191,1,0.25,63486.65,13,Yes,['2023-5-13'],['UPI'],-1295.6500000000015
843,Yuvraj  Dhingra,484,Home Loan,45801,1,0.25,46755.19,2,No,[],[],45801.0
844,Aayush Karnik,383,Personal Loan,15532,7,0.27,2423.0,6,Yes,"['2023-5-14', '2023-6-27', '2023-7-23', '2023-8-3']","['UPI', 'UPI', 'Debit Card', 'UPI']",5840.0
845,Rhea Shroff,527,Auto Loan,47102,6,0.16,8220.73,2,Yes,"['2023-5-8', '2023-6-14', '2023-7-9', '2023-8-3', '2023-9-16']","['UPI', 'Credit Card', 'Credit Card', 'Credit Card', 'UPI']",5998.350000000006
846,Azad Gandhi,376,Home Loan,46511,14,0.27,3909.82,11,No,"['2023-5-3', '2023-6-6', '2023-7-15', '2023-8-25']","['Net Banking', 'Net Banking', 'Net Banking', 'Credit Card']",30871.72
847,Navya Soni,776,Personal Loan,88594,11,0.22,8966.75,4,No,"['2023-5-25', '2023-6-15', '2023-7-27', '2023-8-2', '2023-9-25']","['UPI', 'Cash', 'Debit Card', 'UPI', 'Cash']",43760.25
848,Gatik Wason,507,Home Loan,98556,1,0.25,100609.25,11,No,['2023-5-6'],['Credit Card'],-2053.25
849,Sahil Goswami,653,Personal Loan,95908,10,0.29,10911.19,9,No,"['2023-5-19', '2023-6-22', '2023-7-9', '2023-8-14', '2023-9-4', '2023-10-14', '2023-11-8', '2023-12-24']","['Debit Card', 'Cash', 'Credit Card', 'Credit Card', 'UPI', 'Cash', 'Credit Card', 'Credit Card']",8618.479999999996
850,Shlok Master,393,Home Loan,80235,11,0.29,8393.78,5,No,"['2023-5-14', '2023-6-23', '2023-7-10', '2023-8-18', '2023-9-11', '2023-10-21', '2023-11-13']","['Cash', 'Debit Card', 'Net Banking', 'UPI', 'Net Banking', 'Net Banking', 'UPI']",21478.539999999994
851,Rasha Garg,763,Home Loan,42422,9,0.13,4972.54,3,Yes,"['2023-5-12', '2023-6-13', '2023-7-1', '2023-7-19', '2023-8-25', '2023-9-7', '2023-10-24']","['Debit Card', 'Debit Card', 'Credit Card', 'Debit Card', 'Net Banking', 'Debit Card', 'Cash']",7614.220000000001
852,Bhavin Dada,520,Home Loan,25759,12,0.28,2485.9,11,Yes,"['2023-5-15', '2023-6-13', '2023-7-8', '2023-8-4', '2023-9-11', '2023-10-2']","['Net Banking', 'Cash', 'Credit Card', 'Net Banking', 'Cash', 'Cash']",10843.599999999999
853,Yakshit Andra,540,Home Loan,20082,2,0.27,10381.14,13,Yes,['2023-5-10'],['Debit Card'],9700.86
854,Romil Goel,367,Home Loan,75371,6,0.13,13042.41,4,No,"['2023-5-16', '2023-6-17', '2023-7-18', '2023-8-21']","['Net Banking', 'Credit Card', 'Debit Card', 'UPI']",23201.36
855,Amira Jaggi,728,Personal Loan,15307,15,0.14,1118.29,4,Yes,['2023-5-15'],['Net Banking'],14188.71
856,Jayesh Dar,443,Auto Loan,40463,5,0.23,8563.81,10,No,['2023-5-1'],['Cash'],31899.190000000002
857,Kiaan Mahajan,527,Auto Loan,50707,3,0.12,17241.5,9,No,"['2023-5-10', '2023-6-26']","['Credit Card', 'Debit Card']",16224.0
858,Dhruv Lanka,450,Auto Loan,26062,13,0.29,2360.08,9,No,"['2023-5-19', '2023-6-12', '2023-7-16', '2023-8-10', '2023-9-12', '2023-10-26', '2023-11-26', '2023-12-5', '2024-1-8', '2024-2-13', '2024-3-13', '2024-4-11']","['Cash', 'UPI', 'UPI', 'Credit Card', 'Credit Card', 'Credit Card', 'Net Banking', 'UPI', 'Debit Card', 'UPI', 'UPI', 'Credit Card']",-2258.959999999999
859,Prerak Upadhyay,579,Auto Loan,58131,13,0.22,5066.3,14,Yes,"['2023-5-23', '2023-6-17', '2023-7-6', '2023-8-16', '2023-9-14', '2023-10-6', '2023-11-17', '2023-12-16', '2024-1-23', '2024-2-14', '2024-3-6', '2024-4-15', '2024-5-27']","['Credit Card', 'Net Banking', 'UPI', 'UPI', 'Net Banking', 'Credit Card', 'Cash', 'Cash', 'Credit Card', 'Debit Card', 'Net Banking', 'Debit Card', 'Cash']",-7730.900000000009
860,Pari Babu,803,Home Loan,22991,13,0.27,2059.46,9,Yes,"['2023-5-5', '2023-6-28', '2023-7-22', '2023-8-1', '2023-8-18', '2023-9-7', '2023-10-28', '2023-11-16']","['Credit Card', 'Net Banking', 'Net Banking', 'Debit Card', 'Debit Card', 'Debit Card', 'Credit Card', 'Credit Card']",6515.32
861,Khushi Chaudhari,462,Personal Loan,45758,3,0.15,15635.56,1,No,"['2023-5-9', '2023-6-10']","['UPI', 'Net Banking']",14486.880000000001
862,Hrishita Chada,762,Personal Loan,35041,14,0.13,2711.04,3,Yes,"['2023-5-4', '2023-6-3', '2023-7-22', '2023-8-22', '2023-9-28', '2023-10-28', '2023-11-12', '2023-12-20']","['UPI', 'Net Banking', 'Debit Card', 'Cash', 'UPI', 'Net Banking', 'Cash', 'Credit Card']",13352.68
863,Kismat Sehgal,552,Auto Loan,48235,4,0.18,12514.32,9,Yes,[],[],48235.0
864,Anvi Dugal,398,Home Loan,61079,11,0.1,5834.11,12,Yes,"['2023-5-24', '2023-6-21', '2023-7-27', '2023-8-22', '2023-9-22', '2023-10-6', '2023-11-28', '2023-12-20', '2024-1-3', '2024-2-5', '2024-3-4']","['UPI', 'Debit Card', 'Credit Card', 'UPI', 'Net Banking', 'Cash', 'UPI', 'Credit Card', 'Credit Card', 'UPI', 'Cash']",-3096.209999999999
865,Kiara Sarna,751,Auto Loan,38605,10,0.29,4391.99,15,No,"['2023-5-6', '2023-6-16', '2023-7-24', '2023-8-20', '2023-9-5', '2023-10-2', '2023-11-5', '2023-12-1', '2023-12-19', '2024-1-21']","['Credit Card', 'Credit Card', 'Credit Card', 'UPI', 'Cash', 'UPI', 'Net Banking', 'Cash', 'Credit Card', 'UPI']",-5314.899999999994
